sample,chl_sdev,rfu,rfu_sdev,type
0,NA,0,0,manual
2.01,NA,0.749514934,0.01346725,manual
10.04,NA,3.459431302,0.004533752,manual
25.09,NA,8.515632019,0.002966999,manual
49.62,NA,17.45231063,0.023963509,manual
75.42,NA,25.95840382,0.019999328,manual
150.84,NA,52.01288411,0.074998974,manual
293.74,NA,102.1634217,0.141650797,manual
0,NA,0.37,NA,auto
2.01,NA,1.07,NA,auto
10.04,NA,3.9,NA,auto
25.09,NA,9.03,NA,auto
49.62,NA,17.6,NA,auto
75.42,NA,26.07,NA,auto
2.01,NA,1.089931271,0.005632665,standard
150.84,NA,51.22910653,0.056116604,standard
293.74,NA,100.3585452,0.186821379,standard
1.821633755,0.146308838,1.232199313,0.037462824,field
