depth,date,flu,gem_1,gem_2,gem_3,gem_4,gem_5
1,2024-08-20,1.408581857,4.585,4.489,4.303,,
2,2024-08-20,1.438412143,,,,,
3,2024-08-20,1.641990221,,,,,
4,2024-08-20,1.640038933,,,,,
5,2024-08-20,1.428051449,4.542,5.015,5.651,,
6,2024-08-20,1.2827616,,,,,
7,2024-08-20,1.306926282,,,,,
8,2024-08-20,1.561002586,,,,,
9,2024-08-20,1.703721098,,,,,
10,2024-08-20,1.6942234,5.516,5.435,5.346,,
11,2024-08-20,1.483849126,,,,,
12,2024-08-20,1.120765368,,,,,
13,2024-08-20,1.002193368,,,,,
14,2024-08-20,0.890503366,,,,,
15,2024-08-20,0.853274249,,,,,
16,2024-08-20,0.750022167,,,,,
17,2024-08-20,0.69227266,,,,,
18,2024-08-20,0.62753597,,,,,
19,2024-08-20,0.45122331,,,,,
20,2024-08-20,0.319079133,1.391,1.292,1.743,1.437,
5,2024-08-07,8.5750521,35.61,28.57,52.81,21.5,34.24
